Item #,Ref Des,Value,Qty,Manufacturer,Mfg Part #,Footprint / Package,Description / Value,Digi-Key Part No.,LCSC Part Number,Link
26,R106,47k,1,YAGEO,RC0805FR-0747KL,Resistor_SMD:R_0805_2012Metric,RES 47K OHM 1% 1/8W 0805,311-47.0KCRCT-ND,C126351,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747KL/727973
27,R107 R108,10k,2,Stackpole Electronics Inc,RNCP0805FTD10K0,Capacitor_SMD:C_0805_2012Metric,RES 10K OHM 1% 1/4W 0805,RNCP0805FTD10K0CT-ND,C2441435,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262
28,R101 R201 R203 R205,105k,4,YAGEO,RC0805FR-07105KL,Resistor_SMD:R_0805_2012Metric,RES 105K OHM 1% 1/8W 0805,311-105KCRCT-ND,C273877,https://www.digikey.com/en/products/detail/yageo/RC0805FR-07105KL/727548
29,R202 R204,1M,2,YAGEO,RC0805FR-131ML,Resistor_SMD:R_0805_2012Metric,RES 1M OHM 1% 1/8W 0805,13-RC0805FR-131MLCT-ND,C4198744,https://www.digikey.com/en/products/detail/yageo/RC0805FR-131ML/14008312
30,U101,AVR128DA28,1,Microchip Technology,AVR128DA28T-E/SO,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,IC MCU 8BIT 128KB FLASH 28SOIC,150-AVR128DA28T-E/SOCT-ND,C1870730,https://www.digikey.com/short/781hqp8f
31,U102,SI5351,1,Silicon Labs,SI5351A-B-GT,Package_SO:MSOP-10_3x3mm_P0.5mm,IC CLK GENERATOR 200MHZ 10MSOP,336-2399-5-ND,C529366,https://www.digikey.com/products/en?keywords=336-2399-5-ND
32,U103 U204,TPS22810DBVT,2,Texas Instruments,TPS22810DBVT,TO_SOT_Packages_SMD:SOT-23-6,Power Switch/Driver 1:1 N-Channel 2A SOT-23-6,296-45304-1-ND,C2680364,https://www.digikey.com/products/en?keywords=296-45304-1-ND
33,U104,LM5134,1,Texas Instruments,LM5134BMFX/NOPB,Package_TO_SOT_SMD:SOT-23-6-LM5134,IC GATE DRVR LOW-SIDE SOT23-6,296-40244-1-ND,C2677086,https://www.digikey.com/products/en?keywords=296-40244-1-ND
34,U201 U202,LP2985-3.3,2,Texas Instruments,LP2985A-33DBVR,Package_TO_SOT_SMD:SOT-23-5,IC REG LINEAR 3.3V 150MA SOT23-5,296-18479-1-ND,C89826,https://www.digikey.com/short/vr2m3rjp
35,U203,TPS63060,1,Texas Instruments,TPS63060DSCT,Package_SON:Texas_S-PWSON-N10_ThermalVias,IC REG BCK BST ADJ 2A 10WSON,296-30178-1-ND,C2070911,https://www.digikey.com/en/products/detail/texas-instruments/TPS63060DSCT/2812707
36,X101,SIT1566AC TCO,1,SiTime,SIT1566AC-JV-XXE-32.768E,Oscillator:Oscillator_SMD_SiTime_SIT1566AC-4Pin_BGA,MEMS OSC TCXO 32.768KHZ CSP,1473-SIT1566AC-JV-XXE-32.768ECT-ND,,https://www.digikey.com/short/r7q3vdbp
37,X102,25 MHz,1,Taitien,TXETCLSANF-25.000000,Crystal:Crystal_SMD_TXETCLSANF-4Pin,XTAL OSC TCXO 25.0000MHZ SNWV,1664-1273-1-ND,,https://www.digikey.com/products/en?keywords=1664-1273-1-ND
